Date,Victory,Player,Match,Opponent,Game-Loss
14/10/2023-140000,1,<@693492171591909427>,1,<@723638398312513586>,0
14/10/2023-140000,1,<@693492171591909427>,0,<@693536919547674714>,2
14/10/2023-140000,1,<@693492171591909427>,0,<@566387736609685514>,2
14/10/2023-140000,1,<@690644525177110561>,1,<@693536919547674714>,0
14/10/2023-140000,1,<@690644525177110561>,0,<@723638398312513586>,2
14/10/2023-140000,1,<@690644525177110561>,0,<@566387736609685514>,2
14/10/2023-140000,1,<@516145113076858900>,1,<@693536919547674714>,1
14/10/2023-140000,1,<@516145113076858900>,1,<@723638398312513586>,1
14/10/2023-140000,1,<@516145113076858900>,1,<@566387736609685514>,1
14/10/2023-140000,0,<@723638398312513586>,1,<@690644525177110561>,0
14/10/2023-140000,0,<@723638398312513586>,0,<@516145113076858900>,2
14/10/2023-140000,0,<@723638398312513586>,0,<@693492171591909427>,2
14/10/2023-140000,0,<@693536919547674714>,1,<@693492171591909427>,1
14/10/2023-140000,0,<@693536919547674714>,0,<@516145113076858900>,2
14/10/2023-140000,0,<@693536919547674714>,0,<@690644525177110561>,2
14/10/2023-140000,0,<@566387736609685514>,1,<@690644525177110561>,1
14/10/2023-140000,0,<@566387736609685514>,1,<@693492171591909427>,1
14/10/2023-140000,0,<@566387736609685514>,0,<@516145113076858900>,2
21/10/2023-140000,1,<@693492171591909427>,1,<@516145113076858900>,1
21/10/2023-140000,1,<@693492171591909427>,1,<@689986226929139764>,0
21/10/2023-140000,1,<@693492171591909427>,0,<@723638398312513586>,2
21/10/2023-140000,1,<@690644525177110561>,1,<@689986226929139764>,1
21/10/2023-140000,1,<@690644525177110561>,0,<@516145113076858900>,2
21/10/2023-140000,1,<@690644525177110561>,0,<@723638398312513586>,2
21/10/2023-140000,1,<@566387736609685514>,1,<@516145113076858900>,1
21/10/2023-140000,1,<@566387736609685514>,1,<@723638398312513586>,0
21/10/2023-140000,1,<@566387736609685514>,1,<@689986226929139764>,0
21/10/2023-140000,0,<@723638398312513586>,1,<@690644525177110561>,0
21/10/2023-140000,0,<@723638398312513586>,1,<@693492171591909427>,0
21/10/2023-140000,0,<@723638398312513586>,0,<@566387736609685514>,2
21/10/2023-140000,0,<@689986226929139764>,0,<@690644525177110561>,2
21/10/2023-140000,0,<@689986226929139764>,0,<@693492171591909427>,2
21/10/2023-140000,0,<@689986226929139764>,0,<@566387736609685514>,2
21/10/2023-140000,0,<@516145113076858900>,1,<@690644525177110561>,1
21/10/2023-140000,0,<@516145113076858900>,0,<@693492171591909427>,2
21/10/2023-140000,0,<@516145113076858900>,0,<@566387736609685514>,2
28/10/2023-140000,1,<@723638398312513586>,1,<@516145113076858900>,1
28/10/2023-140000,1,<@723638398312513586>,1,<@693492171591909427>,0
28/10/2023-140000,1,<@723638398312513586>,1,<@693536919547674714>,0
28/10/2023-140000,1,<@723638398312513586>,0,<@689986226929139764>,2
28/10/2023-140000,1,<@690644525177110561>,1,<@689986226929139764>,1
28/10/2023-140000,1,<@690644525177110561>,1,<@693492171591909427>,1
28/10/2023-140000,1,<@690644525177110561>,1,<@693536919547674714>,0
28/10/2023-140000,1,<@690644525177110561>,0,<@516145113076858900>,2
28/10/2023-140000,1,<@566387736609685514>,1,<@693536919547674714>,1
28/10/2023-140000,1,<@566387736609685514>,1,<@516145113076858900>,0
28/10/2023-140000,1,<@566387736609685514>,1,<@689986226929139764>,0
28/10/2023-140000,1,<@566387736609685514>,0,<@693492171591909427>,2
28/10/2023-140000,1,<@225045824923500546>,1,<@516145113076858900>,1
28/10/2023-140000,1,<@225045824923500546>,1,<@689986226929139764>,0
28/10/2023-140000,1,<@225045824923500546>,1,<@693536919547674714>,0
28/10/2023-140000,1,<@225045824923500546>,0,<@693492171591909427>,2
28/10/2023-140000,0,<@693536919547674714>,0,<@225045824923500546>,2
28/10/2023-140000,0,<@693536919547674714>,0,<@723638398312513586>,2
28/10/2023-140000,0,<@693536919547674714>,0,<@690644525177110561>,2
28/10/2023-140000,0,<@693536919547674714>,0,<@566387736609685514>,2
28/10/2023-140000,0,<@693492171591909427>,1,<@225045824923500546>,0
28/10/2023-140000,0,<@693492171591909427>,1,<@566387736609685514>,0
28/10/2023-140000,0,<@693492171591909427>,0,<@723638398312513586>,2
28/10/2023-140000,0,<@693492171591909427>,0,<@690644525177110561>,2
28/10/2023-140000,0,<@689986226929139764>,1,<@723638398312513586>,1
28/10/2023-140000,0,<@689986226929139764>,0,<@225045824923500546>,2
28/10/2023-140000,0,<@689986226929139764>,0,<@690644525177110561>,2
28/10/2023-140000,0,<@689986226929139764>,0,<@566387736609685514>,2
28/10/2023-140000,0,<@516145113076858900>,1,<@690644525177110561>,0
28/10/2023-140000,0,<@516145113076858900>,0,<@225045824923500546>,2
28/10/2023-140000,0,<@516145113076858900>,0,<@723638398312513586>,2
28/10/2023-140000,0,<@516145113076858900>,0,<@566387736609685514>,2
04/11/2023-140000,1,<@693492171591909427>,1,<@225045824923500546>,0
04/11/2023-140000,1,<@693492171591909427>,1,<@566387736609685514>,0
04/11/2023-140000,1,<@693492171591909427>,1,<@723638398312513586>,0
04/11/2023-140000,1,<@690644525177110561>,1,<@225045824923500546>,1
04/11/2023-140000,1,<@690644525177110561>,0,<@566387736609685514>,2
04/11/2023-140000,1,<@690644525177110561>,0,<@723638398312513586>,2
04/11/2023-140000,1,<@689986226929139764>,1,<@225045824923500546>,1
04/11/2023-140000,1,<@689986226929139764>,1,<@723638398312513586>,0
04/11/2023-140000,1,<@689986226929139764>,0,<@566387736609685514>,2
04/11/2023-140000,0,<@723638398312513586>,1,<@690644525177110561>,1
04/11/2023-140000,0,<@723638398312513586>,0,<@693492171591909427>,2
04/11/2023-140000,0,<@723638398312513586>,0,<@689986226929139764>,2
04/11/2023-140000,0,<@566387736609685514>,1,<@690644525177110561>,0
04/11/2023-140000,0,<@566387736609685514>,1,<@689986226929139764>,0
04/11/2023-140000,0,<@566387736609685514>,0,<@693492171591909427>,2
04/11/2023-140000,0,<@225045824923500546>,0,<@690644525177110561>,2
04/11/2023-140000,0,<@225045824923500546>,0,<@693492171591909427>,2
04/11/2023-140000,0,<@225045824923500546>,0,<@689986226929139764>,2
11/11/2023-140000,1,<@723638398312513586>,1,<@693492171591909427>,1
11/11/2023-140000,1,<@723638398312513586>,1,<@566387736609685514>,0
11/11/2023-140000,1,<@723638398312513586>,0,<@689986226929139764>,2
11/11/2023-140000,1,<@690644525177110561>,1,<@566387736609685514>,0
11/11/2023-140000,1,<@690644525177110561>,0,<@689986226929139764>,2
11/11/2023-140000,1,<@690644525177110561>,0,<@693492171591909427>,2
11/11/2023-140000,1,<@225045824923500546>,1,<@566387736609685514>,1
11/11/2023-140000,1,<@225045824923500546>,1,<@693492171591909427>,1
11/11/2023-140000,1,<@225045824923500546>,1,<@689986226929139764>,0
11/11/2023-140000,0,<@693492171591909427>,1,<@690644525177110561>,0
11/11/2023-140000,0,<@693492171591909427>,0,<@225045824923500546>,2
11/11/2023-140000,0,<@693492171591909427>,0,<@723638398312513586>,2
11/11/2023-140000,0,<@689986226929139764>,1,<@690644525177110561>,1
11/11/2023-140000,0,<@689986226929139764>,1,<@723638398312513586>,0
11/11/2023-140000,0,<@689986226929139764>,0,<@225045824923500546>,2
11/11/2023-140000,0,<@566387736609685514>,0,<@225045824923500546>,2
11/11/2023-140000,0,<@566387736609685514>,0,<@690644525177110561>,2
11/11/2023-140000,0,<@566387736609685514>,0,<@723638398312513586>,2
